Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
gi_dilat3_comp,clinical_features_and_management,,checkbox,"Esophageal Dilatation #3: Complications(Within 72 hours after the procedure)","0, None reported or noted | 1, Pain (of the neck, chest or abdomen) | 2, Bleeding | 3, Esophageal perforation | 4, Fever | 5, Bacteremia | 6, Other",Check all that apply,,,,,[gi_dilat_num]='3' ,,,,,,
gi_dilat3_comp_other,clinical_features_and_management,,notes,Esophageal Dilatation #3: Other Complications ,,,,,,,"[gi_dilat_num]='3' and [gi_dilat3_comp(6)]=""1"" ",,,,,,
gi_tube,clinical_features_and_management,,radio,Gastrostomy/G or J-tube placement or revision within the last 6 months,"1, Yes | 0, No",,,,,,"[system(5)]=""1""",,,,,,
gi_tube_date,clinical_features_and_management,,text,Date of Gastrostomy placement or revision,,YYYY-MM-DD,date_ymd,,,,"[gi_tube]=""1""",,,,,,
nut_calory,clinical_features_and_management,Nutritional Involvement: Based on most recent exam unless specified otherwise,text,Estimated Daily Caloric Intake (Total Kcal/day),,,,,,,"[system(6)]=""1""",,,,,,
cal_need,clinical_features_and_management,,text,Estimated Daily Caloric Needs (Total Kcal/day),,,,,,,"[system(6)]=""1""",,,,,,
nut_calory_prct,clinical_features_and_management,,text,Estimated % of Caloric Requirements,,,,,,,"[system(6)]=""1""",,,,,,
nut_calory_req,clinical_features_and_management,,radio,Reaching Caloric Requirement,"1, Yes | 0, No",,,,,,"[system(6)]=""1""",,,,,,
nut_diet,clinical_features_and_management,,checkbox,Type of diet,"0, Normal (No Restrictions) | 1, Blended Food | 2, Formula",Check all that apply,,,,,"[system(6)]=""1""",,,,,,
nut_calory_supp,clinical_features_and_management,,radio,Caloric Supplementation Required,"1, Yes | 0, No",,,,,,"[system(6)]=""1""",,,,,,
nut_calory_supp_type,clinical_features_and_management,,notes,Types Supplementation ,,,,,,,"[system(6)]=""1"" and [nut_calory_supp]=""1""",,,,,,
nut_vitamin_min,clinical_features_and_management,,radio,Vitamin/Mineral Supplementation,"1, Yes | 0, No",,,,,,"[system(6)]=""1""",,,,,,
nut_vitamin_min_type,clinical_features_and_management,,checkbox,Types of Vitamin/Mineral Supplemented,"0, Multi-Vitamin | 1, Multi-Vitamin with Iron | 2, Calcium | 3, Vitamin D |4, B12 | 5, Vitamin A | 6, Carnitine | 7, Zinc | 8, Selenium | 9, Iron | 10, Other",Check all that apply,,,,,"[system(6)]=""1"" and [nut_vitamin_min]=""1""",,,,,,
nut_vitamin_min_other,clinical_features_and_management,,notes,Specify Other types of Vitamin/Mineral Supplemented,,,,,,,"[nut_vitamin_min_type(10)]=""1""",,,,,,
anemia_trt,clinical_features_and_management,Hematology (including Anemia and Transfusion),checkbox,Treatments for Anemia within the last 6 months,"0, None | 1, Oral Iron Supplementation | 2,  Transfusions | 3, Intravenous Iron Infusion | 4, Erythropoeitin | 5, Other",Check all that apply,,,,,"[system(7)]=""1""",,,,,,
anemia_other,clinical_features_and_management,,notes,Specify the other therapy for anemia,,,,,,,"[anemia_trt(5)]=""1""",,,,,,
iron_amt_day_n,clinical_features_and_management,,radio,What is the dose of Elemental Iron taken daily?,"0, 1-2mg/kg/day | 1, 3-4mg/kg/day | 2, >5mg/kg/day |3, Other",Select one,,,,,"[anemia_trt(1)]=""1""",,,,,,
iron_amt_other,clinical_features_and_management,,notes,Specify the Other Dose of Elemental Iron taken daily,,,,,,,"[anemia_trt(1)]=""1"" and [iron_amt_day_n]=""3""",,,,,,
transfusion_number,clinical_features_and_management,,dropdown,Number of Transfusions received within the last 6 months,"1, 1 | 2,  2 | 3, 3| 4, 4| 5, 5 | 6, 6",Select one,,,,,"[anemia_trt(2)]=""1""",,,,,,
transfusion1_date,clinical_features_and_management,,text,Date of first Transfusion ,,YYYY-MM-DD,date_ymd,,,,[transfusion_number]='1' or [transfusion_number]='2' or [transfusion_number]='3' or [transfusion_number]='4' or [transfusion_number]='5' or [transfusion_number]='6',,,,,,
transfusion2_date,clinical_features_and_management,,text,Date of second Transfusion,,YYYY-MM-DD,date_ymd,,,,[transfusion_number]='2' or [transfusion_number]='3' or [transfusion_number]='4' or [transfusion_number]='5' or [transfusion_number]='6',,,,,,
transfusion3_date,clinical_features_and_management,,text,Date of third Transfusion ,,YYYY-MM-DD,date_ymd,,,,[transfusion_number]='3' or [transfusion_number]='4' or [transfusion_number]='5' or [transfusion_number]='6',,,,,,
transfusion4_date,clinical_features_and_management,,text,Date of fourth Transfusion ,,YYYY-MM-DD,date_ymd,,,,[transfusion_number]='4' or [transfusion_number]='5' or [transfusion_number]='6',,,,,,
transfusion5_date,clinical_features_and_management,,text,Date of fifth Transfusion ,,YYYY-MM-DD,date_ymd,,,,[transfusion_number]='5' or [transfusion_number]='6',,,,,,
transfusion6_date,clinical_features_and_management,,text,Date of sixth Transfusion ,,YYYY-MM-DD,date_ymd,,,,[transfusion_number]='6',,,,,,
iron_infus,clinical_features_and_management,,dropdown,Number of Intravenous Iron Infusions received within the last 6 months,"1, 1 | 2,  2 | 3, 3| 4, 4| 5, 5 | 6, 6",Select one,,,,,"[anemia_trt(3)]=""1""",,,,,,
iron_infus1_date,clinical_features_and_management,,text,Date of first Intravenous Iron Infusion,,YYYY-MM-DD,date_ymd,,,,[iron_infus]='1' or [iron_infus]='2' or [iron_infus]='3' or [iron_infus]='4' or [iron_infus]='5' or [iron_infus]='6',,,,,,
iron_infus2_date,clinical_features_and_management,,text,Date of second Intravenous Iron Infusion,,YYYY-MM-DD,date_ymd,,,,[iron_infus]='2' or [iron_infus]='3' or [iron_infus]='4' or [iron_infus]='5' or [iron_infus]='6',,,,,,
iron_infus3_date,clinical_features_and_management,,text,Date of third Intravenous Iron Infusion,,YYYY-MM-DD,date_ymd,,,,[iron_infus]='3' or [iron_infus]='4' or [iron_infus]='5' or [iron_infus]='6',,,,,,
iron_infus4_date,clinical_features_and_management,,text,Date of fourth Intravenous Iron Infusion,,YYYY-MM-DD,date_ymd,,,,[iron_infus]='4' or [iron_infus]='5' or [iron_infus]='6',,,,,,
iron_infus5_date,clinical_features_and_management,,text,Date of fifth Intravenous Iron Infusion,,YYYY-MM-DD,date_ymd,,,,[iron_infus]='5' or [iron_infus]='6',,,,,,
iron_infus6_date,clinical_features_and_management,,text,Date of sixth Intravenous Iron Infusion,,YYYY-MM-DD,date_ymd,,,,[iron_infus]='6',,,,,,
hand_invo,clinical_features_and_management,"Musculoskeletal Involvement (including Hand & Foot deformity, Ambulation): Based on most recent exam unless specified otherwise",checkbox,Hand Deformity/Pseudosyndactyly,"0, No abnormalities noted | 1, Webbing of fingers to PIP joint | 2, Webbing of fingers to DIP joint | 3, Webbing of fingers to fingertips | 4, Thumb Free | 5, Thumb Fused | 6, Digital Contracture-Mild (Full range of motion) | 7, Digital Contracture-Moderate (Limited range of motion) | 8, Digital Contracture-Severe (No motion) | 9, Other",Check all that apply,,,,,"[system(8)]=""1""",,,,,,
hand_invo_note,clinical_features_and_management,,notes,Specify the other types of Hand Deformity,,,,,,,"[hand_invo(9)]=""1""",,,,,,
hand_surgery,clinical_features_and_management,,radio,Hand Surgery within the last 6 months,"1, Yes | 0, No",,,,,,"[system(8)]=""1""",,,,,,
hand_surgery_date,clinical_features_and_management,,text,Date of Hand Surgery,,YYYY-MM-DD,date_ymd,,,,"[hand_surgery]=""1""",,,,,,
hand_surgery_note,clinical_features_and_management,,notes,Comments on Hand Surgery,,,,,,,"[hand_surgery]=""1""",,,,,,
foot_invo,clinical_features_and_management,,radio,Foot Deformity/Pseudosyndactyly,"1, Yes | 0, No",,,,,,"[system(8)]=""1""",,,,,,
note_foot_invo,clinical_features_and_management,,notes,Additional notes on Foot Deformity,,,,,,,"[foot_invo]=""1""",,,,,,
occupational_therapy,clinical_features_and_management,,radio,Occupational Therapy within the last 6 months:,"1, Yes | 0, No",,,,,,"[system(8)]=""1""",,,,,,
ot_types,clinical_features_and_management,,notes,Describe the Occupational Therapy,,,,,,,"[occupational_therapy]=""1""",,,,,,
physical_therapy,clinical_features_and_management,,radio,Physical Therapy within the last 6 months,"1, Yes | 0, No",,,,,,"[system(8)]=""1""",,,,,,
pt_types,clinical_features_and_management,,notes,Describe the Physical Therapy,,,,,,,"[physical_therapy]=""1""",,,,,,
osteo_n,clinical_features_and_management,,radio,Was Osteopenia/Osteoporosis diagnosed within the last 6 months,"1, Yes | 0, No",Report results of DXA or Xrays in the lab form,,,,,"[system(8)]=""1""",,,,,,
osteo_comments,clinical_features_and_management,,notes,Osteoporosis/osteoporosis comments,,,,,,,"[osteo_n]=""1""",,,,,,
osteo_fracture,clinical_features_and_management,,radio,New fractures within the last 6 months,"1, Yes | 0, No",,,,,,"[system(8)]=""1""",,,,,,
osteo_therapy,clinical_features_and_management,,checkbox,Therapy for Bone Health,"0, None | 1, Calcium | 2, Vitamin D | 3, Bisphosphonates | 4, Other",Check all that apply,,,,,"[osteo_n]=""1""",,,,,,
osteo_therapy_other,clinical_features_and_management,,notes,Specify the other therapy for bone,,,,,,,"[osteo_therapy(4)]=""1""",,,,,,
cardiomyopathy,clinical_features_and_management,Cardiac Involvement (Studies reported in lab instrument),checkbox,Cardiac diagnoses (new or ongoing at most recent encounter),"0, Cardiomyopathy | 1, Other",Check all that apply,,,,,"[system(9)]=""1"" ",,,,,,
cardio_comments,clinical_features_and_management,,notes,Specify the Other Cardiac involvement,,,,,,,"[cardiomyopathy(1)]=""1""",,,,,,
cardio_theraphy,clinical_features_and_management,,checkbox,Therapy for Cardiomyopathy within the last 6 months,"0, None | 1, ACE Inhibitor | 2, Beta blocker | 3, Digoxin | 4, Diuretics| 5, Other",Check all that apply,,,,,"[cardiomyopathy(0)]=""1""",,,,,,
cardio_trt_other,clinical_features_and_management,,notes,Specify Other Therapy for Cardiomyopathy,,,,,,,"[cardiomyopathy(0)]=""1"" and [cardio_theraphy(5)]=""1""",,,,,,
endo_puberty,clinical_features_and_management,Endocrine: Based on most recent exam unless specified otherwise,radio,Pubertal stage,"0, Pre-Pubertal | 1, In Puberty | 2, Post-Pubertal",,,,,,"[system(10)]=""1"" ",,,,,,
endo_menses,clinical_features_and_management,,radio,Menstrual cycle,"0, Normal | 1, Abnormal | 2, NA",,,,,,"[system(10)]=""1"" ",,,,,,
menses_abnomal,clinical_features_and_management,,notes,Specify Menstrual Abnormalities,,,,,,,[endo_menses]='1',,,,,,
endo_therapy,clinical_features_and_management,,checkbox,Endocrine (Hormone) Therapy within the last 6 months,"0, None | 1, Oral Contraceptives | 2, Other Hormonal therapy (sex hormones) | 3, Thyroid hormone | 4, Other",Check all that apply,,,,,"[system(10)]=""1"" ",,,,,,
endo_therapy_other,clinical_features_and_management,,notes,Specify Other Endocrine Therapy,,,,,,,"[system(10)]=""1"" ",,,,,,
genito_renal,clinical_features_and_management,Renal and Genitourinary Involvement : Based on most recent exam unless specified otherwise,checkbox,Renal Involvement,"0, No abnormalities noted | 1, Glomerulonephritis | 2, Renal amyloidosis | 3, IgA nephropathy | 4, Hydronephrosis | 5, Other",Check all that apply,,,,,"[system(11)]=""1""",,,,,,
other_genito_renal,clinical_features_and_management,,notes,Specify Other Renal Involvement,,,,,,,"[genito_renal(5)]=""1""",,,,,,
genito_uri,clinical_features_and_management,,checkbox,Urinary Involvement,"0, No abnormalities noted | 1, Urethral meatal stenosis | 2, Urinary retention | 3, Bladder hypertrophy | 4, Phimosis | 5, Other",Check all that apply,,,,,"[system(11)]=""1""",,,,,,
other_genito_uri,clinical_features_and_management,,notes,Specify Other Urinary Involvement,,,,,,,"[genito_uri(5)]=""1""",,,,,,
analgesia_pre_dress,clinical_features_and_management,"Pain and ItchBased on the last 4 weeks ",radio,Analgesia use with dressing changes,"1, Yes | 0, No",Analgesia: Pre-Dressing Change,,,,,"[system(12)]=""1"" ",,,,,,
analgesia_dress_list,clinical_features_and_management,,checkbox,Type(s) of Analgesia used with dressing changes (Check all that apply),"0, Acetaminophen/Paracetamol | 1, Ibuprofen/NSAID | 2, Opioid | 3, Anxiolytic | 4, Tricyclic Antidepressant | 5, Anticonvulsant | 6, Ketamine | 7, Marijuana/THC/Cannabinoid | 9, Other",Check all that apply,,,,,"[analgesia_pre_dress]=""1""",,,,,,
analgesia_dress_other,clinical_features_and_management,,notes,Specify other analgesia used with dressing changes,,,,,,,"[analgesia_dress_list(9)]=""1""",,,,,,
analgesia_as_needed,clinical_features_and_management,,radio,Analgesia used As Needed (Not for Dressing Changes),"1, Yes | 0, No",Analgesia: NOT for Dressing Change,,,,,"[system(12)]=""1"" ",,,,,,
analgesia_as_needed_list,clinical_features_and_management,,checkbox,Type(s) of Analgesia used As Needed (Check all that apply),"0, Acetaminophen/Paracetamol | 1, Ibuprofen/NSAID | 2, Opioid | 3, Anxiolytic | 4, Tricyclic Antidepressant | 5, Anticonvulsant | 6, Ketamine | 7, Marijuana/THC/Cannabinoid | 9, Other",Check all that apply,,,,,"[analgesia_as_needed]=""1""",,,,,,
analgesia_as_needed_other,clinical_features_and_management,,notes,Specify other analgesia used As Needed,,,,,,,"[analgesia_as_needed_list(9)]=""1""",,,,,,
analgesia_chronic,clinical_features_and_management,,radio,Analgesia use for Chronic Pain ,"1, Yes | 0, No",Analgesia: Chronic Pain,,,,,"[system(12)]=""1"" ",,,,,,
chronic_analgesia_list,clinical_features_and_management,,checkbox,Type(s) of Analgesia used for Chronic Pain (Check all that apply),"0, Acetaminophen/Paracetamol | 1, Ibuprofen/NSAID | 2, Opioid | 3, Anxiolytic | 4, Tricyclic Antidepressant | 5, Anticonvulsant | 6, Ketamine | 7, Marijuana/THC/Cannabinoid | 9, Other",Check all that apply,,,,,"[analgesia_chronic]=""1""",,,,,,
chronic_analgesia_other,clinical_features_and_management,,notes,Specify other analgesia used for Chronic Pain,,,,,,,"[chronic_analgesia_list(9)]=""1""",,,,,,
itching,clinical_features_and_management,,radio,Itching,"1, Yes | 0, No",,,,,,"[system(12)]=""1"" ",,,,,,
itch_therapy,clinical_features_and_management,,checkbox,Therapy used for Itching (Check all that apply),"0, None | 1, Non-sedating antihistamine | 2, Sedating antihistamine | 3, Tricyclic Antidepressant | 4, Anticonvulsant | 5, Emollient | 6, Other",Check all that apply,,,,,"[itching]=""1""",,,,,,
itch_therapy_other,clinical_features_and_management,,notes,Specify other therapy used for Itching,,,,,,,"[itch_therapy(6)]=""1""",,,,,,
psych_n,clinical_features_and_management,Psychosocial Involvement,radio,Psychiatry/Psychology consultation/appointments within the last 6 months,"0, No | 1, Yes",,,,,,"[system(13)]=""1"" ",,,,,,
psych_invo,clinical_features_and_management,,checkbox,Psychiatry/Psychological Involvement,"0, None | 1, Social Phobia | 2, Panic Disorder | 3, Anxiety (wound care) | 4, Anxiety (other) | 5, Depression | 6, Other",Check all that apply,,,,,"[system(13)]=""1""",,,,,,
psych_other,clinical_features_and_management,,notes,Specify Other types of Psychological involvement,,,,,,,"[psych_invo(6)]=""1""",,,,,,
hospital,clinical_features_and_management,Hospitalizations (For reasons NOT captured elsewhere in the instrument),radio,"Was the patient hospitalized within the last 6 months? (Excluding: Transfusions, Dilations, Hand surgery etc.)","1, Yes | 0, No",,,,,,"[system(14)]=""1"" ",,,,,,
hosp_type,clinical_features_and_management,,checkbox,Were the Hospitalizations Planned or Unplanned?,"1, Planned | 0, Unplanned",Check all that apply,,,,,"[hospital]=""1""",,,,,,
hosp_planned_num,clinical_features_and_management,,radio,Number of Planned Hospitalizations,"1, 1 | 2, 2 | 3, 3",Select one,,,,,"[system(14)]=""1"" and [hosp_type(1)]=""1""",,,,,,
hosp_planned1_date,clinical_features_and_management,,text,Planned Hospitalization #1: Date of Admission,,YYYY-MM-DD,date_ymd,,,,[hosp_planned_num]='1' or [hosp_planned_num]='2' or [hosp_planned_num]='3',,,,,,
hosp_planned1_reason,clinical_features_and_management,,notes,Planned Hospitalization #1: Reason(s) for hospitalizaton,,,,,,,[hosp_planned_num]='1' or [hosp_planned_num]='2' or [hosp_planned_num]='3',,,,,,
hosp_planned1_disch,clinical_features_and_management,,text,Planned Hospitalization #1: Date of Discharge,,YYYY-MM-DD,date_ymd,,,,[hosp_planned_num]='1' or [hosp_planned_num]='2' or [hosp_planned_num]='3',,,,,,
hosp_planned2_date,clinical_features_and_management,,text,Planned Hospitalization #2: Date of Admission,,YYYY-MM-DD,date_ymd,,,,[hosp_planned_num]='2' or [hosp_planned_num]='3',,,,,,
hosp_planned2_reason,clinical_features_and_management,,notes,Planned Hospitalization #2: Reason(s) for hospitalizaton,,,,,,,[hosp_planned_num]='2' or [hosp_planned_num]='3',,,,,,
hosp_planned2_disch,clinical_features_and_management,,text,Planned Hospitalization #2: Date of Discharge,,YYYY-MM-DD,date_ymd,,,,[hosp_planned_num]='2' or [hosp_planned_num]='3',,,,,,
hosp_plannedm_reason,clinical_features_and_management,,notes,Planned Hospitalization #3: Reason(s) for hospitalizaton,,,,,,,[hosp_planned_num]='3',,,,,,
hosp_unplanned_num,clinical_features_and_management,,radio,Number of Unplanned Hospitalizations,"1, 1 | 2, 2 | 3, 3",Select one,,,,,"[system(14)]=""1"" and [hosp_type(0)]=""1""",,,,,,
hosp_unplanned1_date,clinical_features_and_management,,text,Unplanned Hospitalization #1: Date of Admission,,YYYY-MM-DD,date_ymd,,,,[hosp_unplanned_num]='1' or [hosp_unplanned_num]='2' or [hosp_unplanned_num]='3',,,,,,
hosp_unplanned1_reason,clinical_features_and_management,,notes,Unplanned Hospitalization #1: Reason(s) for hospitalizaton,,,,,,,[hosp_unplanned_num]='1' or [hosp_unplanned_num]='2' or [hosp_unplanned_num]='3',,,,,,
hosp_unplanned1_disch,clinical_features_and_management,,text,Unplanned Hospitalization #1: Date of Discharge,,YYYY-MM-DD,date_ymd,,,,[hosp_unplanned_num]='1' or [hosp_unplanned_num]='2' or [hosp_unplanned_num]='3',,,,,,
hosp_unplanned2_date,clinical_features_and_management,,text,Unplanned Hospitalization #2: Date of Admission,,YYYY-MM-DD,date_ymd,,,,[hosp_unplanned_num]='2' or [hosp_unplanned_num]='3',,,,,,
hosp_unplanned2_reason,clinical_features_and_management,,notes,Unplanned Hospitalization #2: Reason(s) for hospitalizaton,,,,,,,[hosp_unplanned_num]='2' or [hosp_unplanned_num]='3',,,,,,
hosp_unplanned2_disch,clinical_features_and_management,,text,Unplanned Hospitalization #2: Date of Discharge,,YYYY-MM-DD,date_ymd,,,,[hosp_unplanned_num]='2' or [hosp_unplanned_num]='3',,,,,,
hosp_unplannedm_reason,clinical_features_and_management,,notes,Unlanned Hospitalization #3: Reason(s) for hospitalizaton,,,,,,,[hosp_unplanned_num]='3',,,,,,
lab_type,laboratory,,checkbox,Type (s) of Lab work that the patient had within the last 6 months,"1, Blood Work (Chemistry/Nutrition, Hematology, and Inflammatory/APR labs) | 2, Wound cultures | 3, GI Imaging Studies | 4, Bone Studies (Radiograph, DXA scan, Other) | 5, Cardiac Studies (ECG and Echocardiogram) | 6, Renal Ultrasound | 7, Other Lab",Check all that apply,,,,,,,,,,,
other_lab,laboratory,,notes,Specify the Other Lab,,,,,,,"[lab_type(7)]=""1""",,,,,,
results_other_lab,laboratory,,notes,Results of Other Lab ,,,,,,,"[lab_type(7)]=""1""",,,,,,
lab_unit,laboratory,,radio,Were the lab values reported in US or Standard International (SI) units?,"1, US | 0, Standard International (SI)",Select one,,,,,"[lab_type(1)]=""1"" or [lab_type(2)]=""1"" or [lab_type(3)]=""1"" or [lab_type(4)]=""1"" or [lab_type(5)]=""1"" or [lab_type(6)]=""1"" or [lab_type(7)]=""1""",y,,,,,
blood_work,laboratory,Blood work (Chemistry and Nutrition),checkbox,Type of Blood Work(s) patient has received within the last 6 months,"1, Chemistry/Nutrition | 2, Hematology | 3, Inflammatory/APR",,,,,,"[lab_type(1)]=""1""",,,,,,
blood_num,laboratory,,dropdown,How many times has the patient had Blood work (Chemistry and Nutrition) performed within the last 6 months?,"1, 1 | 2, 2 | 3, 3",Select one,,,,,"[blood_work(1)] = ""1""",,,,,,
blood_chem_nut1,laboratory,,text,Date of first Blood work (Chemistry and Nutrition),,YYYY-MM-DD,date_ymd,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',y,,,,,
sodium1,laboratory,,text,Sodium (Na) from first Blood work,,mmol/L,,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',,,,,,
potassium1,laboratory,,text,Potassium (K) from first Blood work,,mmol/L,,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',,,,,,
urea1,laboratory,,text,Urea (BUN) from first Blood work,,"mg/dL for US;mmol/l for SI",,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',,,,,,
creatinine1,laboratory,,text,"Creatinine,S from first Blood work",,mg/dL for US; mcmol/l for SI,,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',,,,,,
albumin1,laboratory,,text,Albumin from first Blood work,,"g/dL for US;g/L  for SI",,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',,,,,,
alk_phosphatase1,laboratory,,text,Alkaline Phosphatase from first Blood work,,U/L,,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',,,,,,
alt1,laboratory,,text,ALT (Alanine aminotransferase) from first Blood work,,U/L,,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',,,,,,
ast1,laboratory,,text,AST (Aspartate aminotransferase) from first Blood work,,U/L,,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',,,,,,
calcium1,laboratory,,text,Calcium (Ca) from first Blood work,,"mg/dL for US;mmol/l for SI",,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',,,,,,
phosphate1,laboratory,,text,Phosphorus from first Blood work,,"mg/dL for US;mmol/l for SI",,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',,,,,,
magnesium1,laboratory,,text,Magnesium (Mg) from first Blood work,,"mg/dL for US;mmol/l for SI",,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',,,,,,
vitamin_d1,laboratory,,text,25-OH Vitamin D from first Blood work,,"ng/ml for US;nmol/L for SI",,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',,,,,,
zinc1,laboratory,,text,Zinc from first Blood work,,"mcg/ml for US;mcmol/l for SI",,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',,,,,,
selenium1,laboratory,,text,Selenium from first Blood work,,"ng/ml for US;mcmol/L for SI",,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',,,,,,
carnitine1,laboratory,,text,Carnitine (Total) from first Blood work,,nmol/ml for US; mcmol/l for SI,,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',,,,,,
b12_1,laboratory,,text,B12 from first Blood work,,"pg/mL for US;pmol/L for SI",,,,,[blood_num]='1' or [blood_num]='2' or [blood_num]='3',,,,,,
blood_chem_nut2,laboratory,,text,Date of second Blood Work (Chemistry and Nutrition),,YYYY-MM-DD,date_ymd,,,,[blood_num]='2' or [blood_num]='3',y,,,,,
sodium2,laboratory,,text,Sodium (Na) from second Blood Work,,mmol/L,,,,,[blood_num]='2' or [blood_num]='3',,,,,,
potassium2,laboratory,,text,Potassium (K) from second Blood Work,,mmol/L,,,,,[blood_num]='2' or [blood_num]='3',,,,,,
urea2,laboratory,,text,Urea (BUN) from second Blood Work,,"mg/dL for US;mmol/l for SI",,,,,[blood_num]='2' or [blood_num]='3',,,,,,
creatinine2,laboratory,,text,"Creatinine,S from second Blood Work",,mg/dL for US; mcmol/l for SI,,,,,[blood_num]='2' or [blood_num]='3',,,,,,
albumin2,laboratory,,text,Albumin from second Blood Work,,"g/dL for US;g/L  for SI",,,,,[blood_num]='2' or [blood_num]='3',,,,,,
alk_phosphatase2,laboratory,,text,Alkaline Phosphatase from second Blood Work,,U/L,,,,,[blood_num]='2' or [blood_num]='3',,,,,,
alt2,laboratory,,text,ALT (Alanine aminotransferase) from second Blood Work,,U/L,,,,,[blood_num]='2' or [blood_num]='3',,,,,,
ast2,laboratory,,text,AST (Aspartate aminotransferase) from second Blood Work,,U/L,,,,,[blood_num]='2' or [blood_num]='3',,,,,,
calcium2,laboratory,,text,Calcium (Ca) from second Blood Work,,"mg/dL for US;mmol/l for SI",,,,,[blood_num]='2' or [blood_num]='3',,,,,,
phosphate2,laboratory,,text,Phosphorus from second Blood Work,,"mg/dL for US;mmol/l for SI",,,,,[blood_num]='2' or [blood_num]='3',,,,,,
magnesium2,laboratory,,text,Magnesium (Mg) from second Blood Work,,"mg/dL for US;mmol/l for SI",,,,,[blood_num]='2' or [blood_num]='3',,,,,,
vitamin_d2,laboratory,,text,25-OH Vitamin D from second Blood Work,,"ng/ml for US;nmol/L for SI",,,,,[blood_num]='2' or [blood_num]='3',,,,,,
zinc2,laboratory,,text,Zinc from second Blood Work,,"mcg/ml for US;mcmol/l for SI",,,,,[blood_num]='2' or [blood_num]='3',,,,,,
selenium2,laboratory,,text,Selenium from second Blood Work,,"ng/ml for US;mcmol/L for SI",,,,,[blood_num]='2' or [blood_num]='3',,,,,,
carnitine2,laboratory,,text,Carnitine (Total) from second Blood Work,,nmol/ml for US; mcmol/l for SI,,,,,[blood_num]='2' or [blood_num]='3',,,,,,
b12_2,laboratory,,text,B12 from second Blood Work,,"pg/mL for US;pmol/L for SI",,,,,[blood_num]='2' or [blood_num]='3',,,,,,
blood_chem_nut3,laboratory,,text,Date of third Blood Work (Chemistry and Nutrition),,YYYY-MM-DD,date_ymd,,,,[blood_num]='3',y,,,,,
sodium3,laboratory,,text,Sodium (Na) from third Blood Work,,mmol/L,,,,,[blood_num]='3',,,,,,
potassium3,laboratory,,text,Potassium (K) from third Blood Work,,mmol/L,,,,,[blood_num]='3',,,,,,
urea3,laboratory,,text,Urea (BUN) from third Blood Work,,"mg/dL for US;mmol/l for SI",,,,,[blood_num]='3',,,,,,
creatinine3,laboratory,,text,"Creatinine,S from third Blood Work",,mg/dL for US; mcmol/l for SI,,,,,[blood_num]='3',,,,,,
albumin3,laboratory,,text,Albumin from third Blood Work,,"g/dL for US;g/L  for SI",,,,,[blood_num]='3',,,,,,
alk_phosphatase3,laboratory,,text,Alkaline Phosphatase from third Blood Work,,U/L,,,,,[blood_num]='3',,,,,,
alt3,laboratory,,text,ALT (Alanine aminotransferase) from third Blood Work,,U/L,,,,,[blood_num]='3',,,,,,
ast3,laboratory,,text,AST (Aspartate aminotransferase) from third Blood Work,,U/L,,,,,[blood_num]='3',,,,,,
calcium3,laboratory,,text,Calcium (Ca) from third Blood Work,,"mg/dL for US;mmol/l for SI",,,,,[blood_num]='3',,,,,,
phosphate3,laboratory,,text,Phosphorus from third Blood Work,,"mg/dL for US;mmol/l for SI",,,,,[blood_num]='3',,,,,,
magnesium3,laboratory,,text,Magnesium (Mg) from third Blood Work,,"mg/dL for US;mmol/l for SI",,,,,[blood_num]='3',,,,,,
vitamin_d3,laboratory,,text,25-OH Vitamin D from third Blood Work ,,"ng/ml for US;nmol/L for SI",,,,,[blood_num]='3',,,,,,
zinc3,laboratory,,text,Zinc from third Blood Work,,"mcg/ml for US;mcmol/l for SI",,,,,[blood_num]='3',,,,,,
selenium3,laboratory,,text,Selenium from third Blood Work ,,"ng/ml for US;mcmol/L for SI",,,,,[blood_num]='3',,,,,,
carnitine3,laboratory,,text,Carnitine (Total) from third Blood Work,,nmol/ml for US; mcmol/l for SI,,,,,[blood_num]='3',,,,,,
b12_3,laboratory,,text,B12 from third Blood Work,,"pg/mL for US;pmol/L for SI",,,,,[blood_num]='3',,,,,,
